,fdc_id,data_type,description,food_category_id,publication_date,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
2,1107295,branded_food,"ORIGINAL ROUNDS TORTILLA CHIPS, ORIGINAL",,2020-11-13,Hormel Foods Corporation ,,,37600665605,"MASA FLOUR (GROUND WHITE CORN WITH A TRACE OF LIME), VEGETABLE OIL (CONTAINS SUNFLOWER, CORN, AND / OR SOYBEAN OIL WITH TBHQ AND CITRIC ACID (TO HELP PROTECT FLAVOR]), SALT.",,30.0,g,,"Chips, Pretzels & Snacks",LI,,2020-04-08,2020-11-13,United States,,,,
3,1107475,branded_food,"NACHO QUESO SUPREME DIP, NACHO QUESO SUPREME",,2020-11-13,HP Hood LLC,,,73570130330,"CULTURED PASTEURIZED MILK, CREAM AND NONFAT MILK, DEHYDRATED VEGETABLES (TOMATO, ONION, BELL PEPPER, GARLIC), MODIFIED CORN STARCH, GELATIN, SALT, SPICES, CHEDDAR CHEESE (CULTURED MILK, SALT, ENZYMES), NATURAL FLAVOR, DISODIUM PHOSPHATE, SALT, LACTIC ACID), SUGAR*, NATURAL CHEESE FLAVORS, PAPRIKA, HYDROLYZED CORN PROTEIN, MALTODEXTRIN, LACTIC ACID, NATURAL FLAVORS, OLEORESIN PAPRIKA, YEAST EXTRACT, OLEORESIN TURMERIC, POTASSIUM SORBATE (TO PRESERVE FRESHNESS) AND ENZYME.",,31.0,g,,Cheese,LI,,2020-04-08,2020-11-13,United States,,,,
13,1109393,branded_food,"HOMESTYLE PARMESAN-ROMANO GRATED CHEESE, HOMESTYLE PARMESAN-ROMANO",,2020-11-13,4C Foods Corp.,,,41387116274,"GRATED PARMESAN CHEESE [PASTEURIZED PART SKIM MILK, CHEESE CULTURE, SALT, ENZYMES (RENNET)] AND GRATED IMPORTED ITALIAN PECORINO ROMANO CHEESE [PASTEURIZED SHEEP'S MILK, CHEESE CULTURE, SALT, ENZYMES (RENNET)].",,5.0,g,,Cheese,LI,,2020-04-08,2020-11-13,United States,,,,
14,1109400,branded_food,"WHITE CHUNK MACADAMIA SOFT BAKED COOKIES, WHITE CHUNK MACADAMIA",,2020-11-13,Mrs. Fields Famous Brands LLC,,,886002506531,"BLEACHED WHEAT FLOUR, SUGAR, WHITE CHOCOLATE (SUGAR, HYDROGENATED PALM KERNEL OIL, NONFAT MILK POWDER, SOY LECITHIN (AN EMULSIFIER), SALT AND NATURAL FLAVOR), FRUCTOSE, BUTTER, PALM OIL MARGARINE (PALM OIL, WATER, SOYBEAN OIL, SALT, CONTAINS LESS THAN 2% OF VEGETABLE MONO & DIGLYCERIDES, SOY LECITHIN, SODIUM BENZOATE (A PRESERVATIVE), CITRIC ACID, NATURAL & ARTIFICIAL FLAVOR, BETA CAROTENE (COLOR), VITAMIN A PALMITATE ADDED, WHEY), MACADAMIA NUTS, CANOLA OIL, MOLASSES, EGGS, BAKING SODA, MONOGLYCERIDES (WITH 2% OR LESS OF CITRIC ACID (ANTIOXIDANT)), DATEM, POTATO STARCH, SALT, NATURAL AND ARTIFICIAL VANILLA FLAVOR, XANTHAN GUM, CARAMEL FLAVOR",,28.0,g,,Cookies & Biscuits,LI,,2020-09-21,2020-11-13,United States,,,,
15,1109434,branded_food,"DRY ROASTED PEANUTS, DRY ROASTED",,2020-11-13,"Safeway, Inc.",,,21130293025,"PEANUTS, SEASONING (SEA SALT, SUGAR, CORN STARCH, TORULA YEAST, GELATIN, CORN SYRUP SOLIDS, SPICES, ONION POWDER, GARLIC POWDER, NATURAL FLAVORS, PAPRIKA), MALTODEXTRIN.",,28.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2020-04-08,2020-11-13,United States,,,,
18,1109796,branded_food,"BAR, CHOCOLATE COCONUT CASHEW",,2020-11-13,The Daily Record,,,838766080338,"COMPLETE PROTEIN BLEND (ORGANIC SPROUTED WHOLE GRAIN BROWN RICE PROTEIN, PEA PROTEIN), ORGANIC BROWN RICE SYRUP, ORGANIC CANE SUGAR, ORGANIC TAPIOCA SYRUP, PALM KERNEL OIL, BROWN RICE CRISPS (WHOLE GRAIN BROWN RICE FLOUR, CALCIUM CARBONATE), ORGANIC DATES, ORGANIC CASHEWS, COCOA POWDER (PROCESSED WITH ALKALI), ORGANIC AGAVE SYRUP, VEGA BLEND (VITAMINS & MINERALS: POTASSIUM PHOSPHATE, CALCIUM PHOSPHATE, MAGNESIUM OXIDE, FERRIC PYROPHOSPHATE, CALCIUM ASCORBATE, ZINC CITRATE, POTASSIUM IODIDE, MOLYBDENUM CITRATE, VITAMIN A PALMINATE, NIACIN, VITAMIN E, COPPER CITRATE, SELENIUM CITRATE, MANGANESE CITRATE, BIOTIN, CALCIUM PANTOTHENATE, THIAMINE HCL, RIBOFLAVIN, VITAMIN B6, VITAMIN B12, CHROMIUM CITRATE, VITAMIN D2, FOLATE, GREENS: ALFALFA GRASS, SPINACH, BROCCOLI, KALE, BERRIES: EXTRACTS OF GRAPE SEED, MAQUI BERRY, GOJI JUICE, ACAI BERRY, POMEGRANATE SEED, MANGOSTEEN, PROBIOTICS: L.ACIDOPHILUS LA-14, B.BIFIDUM BB-06), DRIED COCONUT, VEGA SAVISEED (SACHA INCHI) OIL, UNSWEETENED CHOCOLATE, BUCKWHEAT, INULIN (FROM CHICORY ROOT). CONTAINS 2 PERCENT OR LESS OF: CHIA SEEDS, HEMP SEEDS, ORGANIC VANILLA EXTRACT, NATURAL COCONUT FLAVOR, NATURAL VANILLA FLAVOR, SEA SALT, SUNFLOWER LECITHIN. +KALE, BROCCOLI, ALFALFA, SPINACH.",,64.0,g,,"Snack, Energy & Granola Bars",LI,,2020-09-19,2020-11-13,United States,,,,
25,1110747,branded_food,"SEA SALT VEGETABLE AND POTATO SNACK, SEA SALT",,2020-11-13,"The Hain Celestial Group, Inc.",,,829515300579,"POTATO STARCH, POTATO FLOUR, EXPELLER PRESSED CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL, SPINACH POWDER, TOMATO PASTE, SALT, CANE SUGAR, CORN STARCH, POTASSIUM CHLORIDE, TURMERIC (COLOR), BEETROOT POWDER (COLOR), SEA SALT.",,28.0,g,,"Chips, Pretzels & Snacks",LI,,2020-09-25,2020-11-13,United States,,,,
26,1110839,branded_food,HOLIDAY TREES CANDY,,2020-11-13,Sweet Candy Company,,,71443015036,"CORN SYRUP, SUGAR, CORN STARCH-MODIFIED, MALIC ACID, NATURAL AND ARTIFICIAL FLAVORS, TITANIUM DIOXIDE, RED #40, YELLOW #5, BLUE #1.",,44.0,g,,Candy,LI,,2020-04-26,2020-11-13,United States,,,,
28,1111331,branded_food,JELLY BELLY CANDY CANE,,2020-11-13,Spangler Candy Company,,,30800675009,"CHERRY - SUGAR, CORN SYRUP, CITRIC ACID, ARTIFICIAL FLAVOR, COLOR (RED 40, YELLOW 5) WATERMELON - SUGAR, CORN SYRUP, MALIC ACID, ARTIFICIAL FLAVOR, COLOR (RED 40, YELLOW 5, BLUE 1) COTTON CANDY - SUGAR, CORN SYRUP, MALIC ACID, ARTIFICIAL FLAVOR, COLOR (RED 40, BLUE 1) BLUEBERRY - SUGAR, CORN SYRUP, CITRIC ACID, ARTIFICIAL FLAVOR, COLOR (BLUE 1, RED 40) ISLAND PUNCH - SUGAR, CORN SYRUP, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVOR, COLOR (RED 40, BLUE 1) PINA COLADA - SUGAR, CORN SYRUP, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVOR, COLOR (YELLOW 5, YELLOW 6, RED 40).",,14.0,g,,Candy,LI,,2020-04-13,2020-11-13,United States,,,,
33,1111990,branded_food,"HAVARTI CRACKER CUTS CHEESE SLICES, HAVARTI",,2020-11-13,"Tops Markets, LLC",,,70784017020,"PASTEURIZED MILK, SALT, CHEESE CULTURE, ENZYMES.",,28.0,g,,Cheese,LI,,2020-09-02,2020-11-13,United States,,,,
34,1112148,branded_food,"FAT FREE SHERBET, LIME",,2020-11-13,The Kroger Co.,,,11110531681,"WATER, SUGAR SYRUP, MILK* AND SKIM MILK*, CORN SYRUP, CONCENTRATED LIME JUICE*, CONCENTRATED ORANGE JUICE, NATURAL FLAVORS, ORANGE PULP, CITRIC ACID, LOCUST BEAN GUM, MONO- AND DIGLYCERIDES*, GUAR GUM, POLYSORBATE 80*, PECTIN, TURMERIC (FOR COLOR), YELLOW 5, BLUE 1.",,85.0,g,,Ice Cream & Frozen Yogurt,LI,,2020-04-15,2020-11-13,United States,,,,
36,1112994,branded_food,"QUIESCENTLY FROZEN CONFECTION ALL AMERICAN POPS, CHERRY, BLUE RASPBERRY, LEMON",,2020-11-13,Kemps LLC ,,,41483041357,"WATER, SUGAR, CORN SYRUP, CITRIC ACID, GUAR GUM, NATURAL AND ARTIFICIAL FLAVOR, ARTIFICIAL COLORS (BLUE #1, RED #40), SODIUM BENZOATE (PRESERVATIVE).",,56.0,g,,Ice Cream & Frozen Yogurt,LI,,2020-04-11,2020-11-13,United States,,,,
38,1114096,branded_food,1% SMALL CURD LOWFAT COTTAGE CHEESE,,2020-11-13,Kemps LLC ,,,41483040039,"CULTURED SKIM MILK, SKIM MILK, WHEY PROTEIN CONCENTRATE, CREAM, CONTAINS 2% OR LESS OF SALT, GUAR GUM, MONO AND DIGLYCERIDES, LOCUST BEAN GUM, XANTHAN GUM, NATURAL FLAVORS, POTASSIUM SORBATE AND CARBON DIOXIDE (PRESERVATIVES), ARTIFICIAL COLOR. CARRAGEENAN, POLYSORBATE 80, VITAMIN A PALMITATE, ENZYMES.",,160.0,g,,Cheese,LI,,2020-04-08,2020-11-13,United States,,,,
42,1114461,branded_food,"LIGHTLY SALTED NO SHELLS PISTACHIOS, LIGHTLY SALTED",,2020-11-13,Wonderful Pistachios & Almonds LLC,,,14113910613,"PISTACHIOS, SEA SALT.",,28.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2020-09-25,2020-11-13,United States,,,,
43,1114961,branded_food,WILD BERRY MIX,,2020-11-13,"Eden Foods, Inc.",,,24182000924,"* DRY ROASTED PUMPKIN SEED, * RAW SUNFLOWER SEED, * DRY ROASTED ALMONDS, * DRIED CRANBERRIES (* CRANBERRIES, * APPLE JUICE CONCENTRATE, *SUNFLOWER OIL), *RAISINS, * DRIED WILD BLUEBERRIES (* WILD BLUEBERRIES, * APPLE JUICE CONCENTRATE, * SUNFLOWER OIL)",,30.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2020-09-21,2020-11-13,United States,,,,
45,1115099,branded_food,"RASPBERRY PERFORMANCE ENERGY BLASTS GEL FILLED CHEWS, RASPBERRY",,2020-11-13,Premier Nutrition Corporation,,,97421130300,"DUAL SOURCE ENERGY BLEND (SUGAR, GLUCOSE SYRUP FROM WHEAT, INVERT SUGAR), WATER, GELATIN, AND LESS THAN 2% OF: GLYCERIN, CITRIC ACID, TARTARIC ACID, MALIC ACID, RASPBERRY PUREE, RASPBERRY JUICE CONCENTRATE, COCONUT AND/OR PALM KERNEL OIL, SODIUM ASCORBATE (VITAMIN C), BLACK CARROT JUICE CONCENTRATE (COLOR), NATURAL FLAVOR, CARNUBA WAX.",,60.0,g,,"Snack, Energy & Granola Bars",LI,,2020-04-08,2020-11-13,United States,,,,
47,1115771,branded_food,1% LOW FAT SMALL CURD COTTAGE CHEESE,,2020-11-13,Target Stores,,,85239094785,"CULTURED PASTEURIZED GRADE A NONFAT MILK, CREAM, WHEY, SALT, MALTODEXTRIN, CITRIC ACID, LACTIC ACID, PHOSPHORIC ACID, GUAR GUM, CARRAGEENAN, MODIFIED CORN STARCH, CAROB BEAN GUM, VITAMIN A PALMITATE, ENZYME.",,113.0,g,,Cheese,LI,,2020-04-08,2020-11-13,United States,,,,
49,1116176,branded_food,CHICKEN CAESAR SALAD,,2020-11-13,"Safeway, Inc.",,,21130062614,"ROMAINE LETTUCE, CHICKEN BREAST WITH RIB MEAT (CHICKEN BREAST WITH RIB MEAT, WATER, SODIUM LACTATE, SEASONING [SALT, SUGAR, ARTIFICIAL CHICKEN FLAVOR (WITH HYDROLYZED CORN PROTEIN, AUTOLYZED YEAST EXTRACT, THIAMINE HYDROCHLORIDE, DISODIUM INOSINATE, DISODIUM GUANYLATE), DEXTROSE, NATURAL FLAVORING], MODIFIED POTATO STARCH, DEXTROSE, POTASSIUM LACTATE, SODIUM PHOSPHATE, SODIUM DIACETATE), LIGHT CAESAR DRESSING (WATER, SOYBEAN OIL, PARMESAN CHEESE [PASTEURIZED PART SKIM MILK, CHEESE CULTURES, SALT, ENZYMES], DISTILLED VINEGAR, ENZYME MODIFIED ROMANO CHEESE [ROMANO CHEESE (CULTURED MILK, SALT, ENZYMES), FLAVOR (ENZYME MODIFIED ROMANO CHEESE (CULTURED MILK, WATER, SALT, ENZYMES)), SALT], EGG YOLKS, SALT, CORN SYRUP, CONTAINS LESS THAN 2% OF: LEMON JUICE CONCENTRATE, SUGAR, GARLIC*, SPICES, XANTHAN GUM, POLYSORBATE 60, ONION*, SODIUM BENZOATE AND POTASSIUM SORBATE [PRESERVATIVES], MOLASSES, ANCHOVY, LACTIC ACID, NATURAL FLAVORS, DEFATTED SOY FLOUR, CARAMEL COLOR, CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR), TAMARIND), PARMESAN STYLE CHEESE (PASTEURIZED PART-SKIM MILK, SALT, CHEESE CULTURE, ENZYMES, POTATO STARCH AND POWDERED CELLULOSE [TO PREVENT CAKING], NATAMYCIN [A NATURAL MOLD INHIBITOR]), MULTI-GRAIN CROUTONS (ENRICHED WHEAT FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], CANOLA AND/OR OLIVE OIL, SALT, SUGAR, RYE MEAL, WHEAT BRAN, YEAST, CARAMEL COLOR, GARLIC*, CORN MEAL, SPICES, CARAWAY SEEDS, NATURAL BUTTER, FLAVOR [MILK], CITRIC ACID, ASCORBIC ACID).",,191.0,g,,"Pickles, Olives, Peppers & Relishes",LI,,2020-09-19,2020-11-13,United States,,,,
53,1117209,branded_food,"PRINCESS, ASSORTED FRUIT FLAVORED SNACKS",,2020-11-13,The Kellogg Company ,,,38000928147,"CORN SYRUP, SUGAR, APPLE PUREE CONCENTRATE, WATER, MODIFIED CORN STARCH, GELATIN. CONTAINS 2% OR LESS OF CITRIC ACID, VITAMIN C (ASCORBIC ACID), NATURAL AND ARTIFICIAL FLAVORS, YELLOW 5, RED 40, SODIUM CITRATE, BLUE1.",,22.0,g,,Candy,LI,,2020-04-15,2020-11-13,United States,,,,
54,1117254,branded_food,"100% LIME JUICE FROM CONCENTRATE, LIME",,2020-11-13,Mott's LLP,,,14800582048,"WATER, LIME JUICE CONCENTRATE AND LESS THAN 2% OF: LIME OIL, SODIUM BENZOATE AND SODIUM METABISULFITE (PRESERVATIVES).",,5.0,ml,,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",LI,,2020-04-08,2020-11-13,United States,,,,
55,1117592,branded_food,"GOLDEN SANDWICH COOKIES, GOLDEN",,2020-11-13,Nabisco Biscuit Company,,,44000817077,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, FERROUS FUMARATE {IRON}, THIAMIN MONONITRATE {VITAMIN B1}, RIBOFLAVIN {VITAMIN B2}, FOLIC ACID), SUGAR, CANOLA AND/OR PALM OIL, DEXTROSE, HIGH FRUCTOSE CORN SYRUP, SALT, LEAVENING (BAKING SODA AND/OR CALCIUM PHOSPHATE), CORNSTARCH, SOY LECITHIN, NATURAL AND ARTIFICIAL FLAVOR.",,51.0,g,,Cookies & Biscuits,LI,,2020-09-01,2020-11-13,United States,,,,
57,1117776,branded_food,"LOTSO NACHO CRUNCHY CORN STICKS, LOTSO NACHO",,2020-11-13,"Amplify Snack Brands, Inc.",,,15665103669,"CORNMEAL, SUNFLOWER OIL AND/OR EXPELLER PRESSED CANOLA OIL, WHEY, MALTODEXTRIN, TOMATO POWDER, CHEDDAR CHEESE (CULTURED PASTEURIZED MILK, SALT, ENZYMES), SALT, NATURAL FLAVOR, SUGAR, BUTTER (CREAM, SALT), SEA SALT, CITRIC ACID, GARLIC POWDER, ONION, BUTTERMILK POWDER, MILK PROTEIN CONCENTRATE, LACTIC ACID, CULTURED WHOLE MILK, NONFAT DRY MILK, YEAST EXTRACT, SPICE, EXTRACTIVES OF PAPRIKA, TURMERIC, AND ANNATTO (FOR COLOR), ORGANIC BLACK PEPPER.",,28.0,g,,Other Snacks,LI,,2020-04-22,2020-11-13,United States,,,,
60,1118238,branded_food,"QUESO FRESCO PART SKIM MILK CHEESE, QUESO FRESCO",,2020-11-13,Cacique Inc.,,,74562110200,"CULTURED PASTEURIZED GRADE A MILK AND SKIM MILK, SEA SALT AND ENZYMES.",,28.0,g,,Cheese,LI,,2020-04-29,2020-11-13,United States,,,,
66,1118768,branded_food,"VANILLA PECAN CRISP BAR, VANILLA PECAN",,2020-11-13,"Atkins Nutritionals, Inc.",,,637480054010,"PROTEIN BLEND (SOY PROTEIN ISOLATE, WHEY PROTEIN CONCENTRATE, MILK PROTEIN ISOLATE, WHEY PROTEIN ISOLATE), SOLUBLE CORNFIBER, POLYDEXTROSE, VEGETABLE GLYCERIN, PALM KERNEL OIL, PECANS, ALMOND BUTTER, COCONUT OIL, SUNFLOWER OIL, WHEY POWDER, RICE STARCH, CONTAINS LESS THAN 2% OF: RICE FLOUR, NATURAL FLAVOR, SALT, MIXED TOCOPHEROLS (TO MAINTAIN FRESHNESS), SOY LECITHIN, SUCRALOSE.",,48.0,g,,"Snack, Energy & Granola Bars",LI,,2020-04-08,2020-11-13,United States,,,,
67,1118810,branded_food,"OATS & HONEY CRUNCHY GRANOLA BARS, OATS & HONEY",,2020-11-13,"Schnuck Markets, Inc.",,,41318292312,"ROLLED OATS, SUGAR, HIGH OLEIC CANOLA OIL, RICE FLOUR, HONEY, DARK REFINERS SYRUP, SALT, SOY LECITHIN, NATURAL FLAVOR, BAKING SODA.",,42.0,g,,"Snack, Energy & Granola Bars",LI,,2020-04-08,2020-11-13,United States,,,,
70,1119505,branded_food,"STRAWBERRY SHORTCAKE AND BANANA ICE CREAMS WITH STRAWBERRIES AND CAKE PIECES, STRAWBERRY BANANA",,2020-11-13,"7-Eleven, Inc.",,,52548610128,"MILK, CREAM, SKIM MILK, SUGAR, STRAWBERRIES, CONTAINS 2% OR LESS OF BANANAS, EGG YOLKS, STRAWBERRY JUICE CONCENTRATE, WHEAT FLOUR, EGGS, DEXTROSE, PALM OIL, SOYBEAN OIL, SALT, NATURAL FLAVORS, STRAWBERRY PUREE, CORN SYRUP, CORN STARCH, PECTIN, CAROB BEAN GUM, TARA GUM, GUAR GUM, CARRAGEENAN, MONO AND DIGLYCERIDES, SOY LECITHIN, CITRIC ACID, ASCORBIC ACID, VITAMIN A PALMITATE, ANNATTO FOR COLOR, BEET EXTRACT FOR COLOR, WATER.",,119.0,g,,Ice Cream & Frozen Yogurt,LI,,2020-04-08,2020-11-13,United States,,,,
72,1119673,branded_food,"MESQUITE BARBECUE CRISPY COATED PEANUTS, MESQUITE BARBECUE",,2020-11-13,Nabisco Food Company,,,29000024045,"PEANUTS, POTATO STARCH, RICE FLOUR, SUGAR, PEANUT OIL, TAPIOCA FLOUR, CORN STARCH, CONTAINS LESS THAN 2%OF SEA SALT, BROWN SUGAR, DRIED TOMATO, SPICES, SALT, CORN DEXTRIN, DRIED ONION, PAPRIKA, MALTODEXTRIN, NATURAL FLAVOR, CITRIC ACID, INVERT SUGAR, MAPLE SYRUP.",,28.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2020-04-08,2020-11-13,United States,,,,
73,1119940,branded_food,"BROWN 'N SERVE SPECIAL RECIPE ROLLS, BROWN 'N SERVE",,2020-11-13,Lewis Bakeries Inc.,,,24126017681,"UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, BARLEY MALT, NIACIN (VITAMIN B3), IRON, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID (VITAMIN B9)], WATER, YEAST, CORN SYRUP, CONTAINS 2% OR LESS OF THE FOLLOWING: WHEAT GLUTEN, SOYBEAN OIL, SALT, CALCIUM PROPIONATE (TO RETAIN FRESHNESS), DOUGH CONDITIONER (MONO- AND DIGLYCERIDES, ETHOXYLATED MONO- AND DIGLYCERIDES, SODIUM STEAROYL LACTYLATE, ASCORBIC ACID), CALCIUM CARBONATE, YEAST NUTRIENTS (MONOCALCIUM PHOSPHATE, CALCIUM SULFATE, AMMONIUM SULFATE), FUMARIC ACID, SORBIC ACID (TO RETAIN FRESHNESS), HYDROGENATED VEGETABLE OIL,SOY LECITHIN.",,26.0,g,,Breads & Buns,LI,,2020-04-08,2020-11-13,United States,,,,
80,1122060,branded_food,"MARSHMALLOW CRISPY BAR SOFT ICE CREAM; RICE CRISP AND PEANUT BUTTER SWIRLS; CHOCOLATY RICE CRISP; CHOCOLATY MARSHMALLOW BUNNIES, MARSHMALLOW CRISPY BAR",,2020-11-13,"Wells Enterprises, Inc.",,,70640017386,"MILK, SUGAR, CREAM, SKIM MILK, DEXTROSE, PEANUTS, SOYBEAN OIL, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, CONTAINS 2% OR LESS OF NATURAL FLAVORS, CHOCOLATE, COCOA, COCOA PROCESSED WITH ALKALI, CORN STARCH, RICE, MILLED RICE, RICE FLOUR, BARLEY MALT, MALT FLAVOR, COCOA BUTTER, GLYCERINE, WATER, SEA SALT, SALT, PEANUT OIL, COCONUT OIL, ARTIFICIAL FLAVORS, PALM OIL, IRON, VITAMIN C (ASCORBIC ACID), VITAMIN E (ALPHA TOCOPHEROL ACETATE), NIACINAMIDE, VITAMIN A PALMITATE, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B2 (RIBOFLAVIN), VITAMIN B1 (THIAMIN HYDROCHLORIDE), FOLIC ACID, VITAMIN B12, VITAMIN D, PROPYLENE GLYCOL MONOESTERS, CELLULOSE GEL, CELLULOSE GUM, GUAR GUM, CAROB BEAN GUM, CARRAGEENAN, MONO AND DIGLYCERIDES, ARABIC GUM, SOY LECITHIN, CITRIC ACID, PAPRIKA EXTRACT FOR COLOR.",,161.0,g,,Ice Cream & Frozen Yogurt,LI,,2020-04-08,2020-11-13,United States,,,,
84,1122523,branded_food,"ITALIAN BLEND OF MOZZARELLA WITH ROMANO, PARMESAN, FONTINA & ASIAGO NATURAL CHEESES STICKS, ITALIAN BLEND",,2020-11-13,Sargento Foods Inc,,,46100011300,"PASTEURIZED COW'S MILK, CHEESE CULTURE, SALT, ENZYMES.",,20.0,g,,Cheese,LI,,2020-04-13,2020-11-13,United States,,,,
87,1122925,branded_food,"100% GRAPE JUICE FROM CONCENTRATE, GRAPE",,2020-11-13,"Associated Wholesale Grocers, Inc.",,,70038632269,"WATER, GRAPE JUICE CONCENTRATE, ASCORBIC ACID (VITAMIN C).",,240.0,ml,,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",LI,,2020-04-08,2020-11-13,United States,,,,
89,1123129,branded_food,"SWISS FLAVOR IMITATION PROCESS CHEESE FOOD SANDWICH SLICES, SWISS",,2020-11-13,"Topco Associates, Inc.",,,193476000374,"WATER, FOOD STARCH, PALM OIL, MODIFIED FOOD STARCH, MILK PROTEIN CONCENTRATE, SALT, NATURAL FLAVOR, SODIUM PHOSPHATE, CARRAGEENAN, STABILIZER (XANTHAN, LOCUST BEAN, GUAR GUMS), SORBIC ACID AS PRESERVATIVE, LACTIC ACID, ARTIFICIAL COLOR.",,19.0,g,,Cheese,LI,,2020-04-08,2020-11-13,United States,,,,
90,1123407,branded_food,"SALTED & ROASTED ORIGINAL SUNFLOWER SEEDS, SALTED & ROASTED ORIGINAL",,2020-11-13,"Thanasi Foods, LLC",,,896887002196,"SUNFLOWER SEEDS, SALT.",,30.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2020-09-17,2020-11-13,United States,,,,
94,1123938,branded_food,"RASPBERRY SORBET, RASPBERRY",,2020-11-13,Harris-Teeter Inc.,,,7203698195,"WATER, RASPBERRY PUREE (RASPBERRIES, RASPBERRY JUICE CONCENTRATE, NATURAL FLAVOR, MALIC ACID, ARTIFICIAL COLOR [FD&C RED 40, GREEN 3]), SUGAR, PECTIN, GUAR GUM.",,109.0,g,,Ice Cream & Frozen Yogurt,LI,,2020-04-07,2020-11-13,United States,,,,
95,1124226,branded_food,"NO SUGAR ADDED ORANGE & ALMOND DARK CHOCOLATE, ORANGE & ALMOND",,2020-11-13,SWISS-OWNED COMPANY,,,4751027950026,CHOCOLATE LIQUOR; ERYTHRITOL; POLYDEXTROSE; COCOA BUTTER; ALMOND PIECES; ORANGE ZEST; CARRAGEENAN; SOY LECITHIN; PGPR; NATURAL FLAVOURS; STEVIA EXTRACT.,,33.0,g,,Chocolate,LI,,2020-04-08,2020-11-13,United States,,,,
99,1125619,branded_food,PRUNE 100% JUICE,,2020-11-13,Harris-Teeter Inc.,,,7203620042,PRUNE JUICE.,,240.0,ml,,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",LI,,2020-04-09,2020-11-13,United States,,,,
104,1126144,branded_food,"BANANA HONEY ICE CREAM, BANANA",,2020-11-13,AgriMissouri,,,858019005536,"MILK, CREAM,HONEY,SUGAR, PUREED BANANAS, MONO AND DIGLYCERIDES, CELLULOSE GUM, POLYSORBATE 80, GUAR GUM, CARRAGEENAN, CONDENSED SKIM WHEY POWDER, STABILIZER, UHT SALT, CORN SYRUP, NATURAL AND ARTIFICIAL VANILLA.",,0.5,g,,Ice Cream & Frozen Yogurt,LI,,2020-04-08,2020-11-13,United States,,,,
106,1126921,branded_food,"TART CHERRY CASHEW PLANT BASED PROTEIN SUPERFOOD BAR, TART CHERRY, CASHEW",,2020-11-13,FREAKIN' HEALTHY,,,6291107890616,INGREDIENTS (ALLERGENS IN BOLD) - CASHEWS PEA PROTEIN TART CHERRY HAZELNUTS DATES COCOA BUTTER COCONUT COCONUT OIL HIMALAYAN PINK SALT VANILLA BEAN POWDER,,40.0,g,,"Snack, Energy & Granola Bars",LI,,2020-04-08,2020-11-13,United States,,,,
107,1126945,branded_food,"GLUTEN FREE ORIGINAL SOFT BREADSTICKS, ORIGINAL",,2020-11-13,Lazy Guy Brands,,,863316000344,"WATER, BROWN RICE FLOUR, TAPIOCA STARCH, POTATO STARCH, RESISTANT CORN STARCH, DEXTROSE, NON-GMO EXPELLER PRESSED CANOLA OIL, YEAST, VEGETABLE FIBERS, MODIFIED CELLULOSE, SALT, SUGARCANE FIBER, XANTHAN GUM, CULTURED CORN SYRUP SOLIDS AND CITRIC ACID, CALCIUM SULFATE, ENZYMES",,60.0,g,,Breads & Buns,LI,,2020-04-08,2020-11-13,United States,,,,
