,fdc_id,data_type,description,food_category_id,publication_date,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
1611,655930,branded_food,"DIP STYLE MESQUITE BARBECUE POTATO CHIPS, DIP STYLE, MESQUITE BARBECUE",,2019-12-06,"Golden Flake Snack Foods, Inc.",,,72080002502,"POTATOES, VEGETABLE OIL (MAY CONTAIN ONE OR MORE OF THE FOLLOWING: COTTONSEED OIL, PALM OIL, CORN OIL, CANOLA OIL, AND/OR SOYBEAN OIL), SUGAR, DEXTROSE, TORULA YEAST, TOMATO POWDER, SALT, SMOKE FLAVORED SALT, PAPRIKA AND OTHER SPICES, DEHYDRATED ONION AND GARLIC, MONOSODIUM GLUTAMATE, CITRIC ACID, NATURAL FLAVORING, EXTRACTIVES OF PAPRIKA.",,28.0,g,1 ONZ,"Chips, Pretzels & Snacks",LI,,2019-10-11,2019-12-06,United States,,,,
1612,656018,branded_food,"ORGANIC HERITAGE GRAIN SPROUTED WHEAT BIG RED'S BREAD, HERITAGE GRAIN",,2019-12-06,SILVER HILLS,,,55991040962,"ORGANIC SPROUTED WHOLE RED FIFE WHEAT, ORGANIC SEED AND GRAIN MIX (BROWN FLAX SEEDS, SUNFLOWER SEEDS, PUMPKIN SEEDS, SESAME SEEDS, MILLET, SPROUTED KHORASAN WHEAT, SPROUTED BARLEY, SPROUTED BUCKWHEAT, SPROUTED PURPLE CORN, SPROUTED RYE, SPROUTED SPELT, GOLDEN FLAX SEEDS, HEMP SEEDS, AMARANTH, QUINOA, CHIA SEEDS, POPPY SEEDS, SORGHUM, SPROUTED RED LENTILS, SPROUTED GREEN LENTILS), WATER, ORGANIC VITAL WHEAT GLUTEN, ORGANIC CANE SUGAR, YEAST, CULTURED WHEAT FLOUR, SEA SALT.",,34.0,g,1 SLICE,Breads & Buns,LI,,2019-09-28,2019-12-06,United States,,,,
1613,656130,branded_food,"CINNAMON STREUSEL BREAKFAST BREAD, CINNAMON STREUSEL",,2019-12-06,Target Stores,,,85239030912,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SUGAR, BROWN SUGAR, BUTTER, YEAST, CONTAINS 2% OR LESS OF THE FOLLOWING: CINNAMON, WHOLE GRAIN OATS, SALT, NONFAT MILK, SOYBEAN OIL, OAT FLOUR, POTATO FLAKES, WHEAT GLUTEN, CALCIUM SULFATE, CARAMEL COLOR, CALCIUM PROPIONATE (MOLD INHIBITOR), SODIUM STEAROYL LACTYLATE.",,41.0,g,1 SLICE,Breads & Buns,LI,,2019-07-11,2019-12-06,United States,,,,
1615,656696,branded_food,"CRANBERRY PINEAPPLE 100% JUICE BLEND FROM CONCENTRATE, CRANBERRY PINEAPPLE",,2019-12-06,"Ocean Spray Cranberries, Inc.",,,31200025616,"APPLE JUICE (WATER, APPLE JUICE CONCENTRATE), GRAPE JUICE (WATER, GRAPE JUICE CONCENTRATE), CRANBERRY JUICE (WATER, CRANBERRY JUICE CONCENTRATE), PINEAPPLE JUICE (WATER, PINEAPPLE JUICE CONCENTRATE), NATURAL FLAVOR, FUMARIC ACID, ASCORBIC ACID (VITAMIN C), VEGETABLE CONCENTRATE FOR COLOR, GUM ARABIC, ESTER GUM.",,240.0,ml,8 OZA,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",LI,,2019-03-20,2019-12-06,United States,,,,
1617,657156,branded_food,"CRUNCHY GRANOLA BARS, OATS AND HONEY",,2019-12-06,"Tops Markets, LLC",,,7078447442,"WHOLE GRAIN ROLLED OATS, SUGAR, CANOLA OIL, CRISP RICE WITH SOY PROTEIN (RICE FLOUR, SOY PROTEIN CONCENTRATE, SUGAR, SALT), MOLASSES, HONEY, SALT, SOY LECITHIN, NATURAL FLAVOR, BAKING SODA, MIXED TOCOPHEROLS (TO RETAIN FRESHNESS), MAPLE SYRUP, BROWN SUGAR, PEANUT FLOUR.",,42.0,g,2 BARS,"Snack, Energy & Granola Bars",LI,,2019-05-06,2019-12-06,United States,,,,
1619,658716,branded_food,WHEAT SANDWICH BREAD,,2019-12-06,"Hy-Vee, Inc.",,,75450098204,"ENRICHED WHEAT FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), WATER, WHOLE WHEAT FLOUR, SUGAR, YEAST, SOYBEAN OIL, WHEAT BRAN, WHEAT GLUTEN, SALT, MOLASSES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONOGLYCERIDES, CALCIUM SULFATE, SOY LECITHIN, CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE.",,47.0,g,2 SLICES,Breads & Buns,LI,,2019-09-05,2019-12-06,United States,,,,
1620,659304,branded_food,"MINT COOKIE CRUNCH ICE CREAM, MINT COOKIE CRUNCH",,2019-12-06,"Wells Enterprises, Inc.",,,70640014828,"MILK, CREAM, SKIM MILK, SUGAR, BUTTERMILK, WHEY, FUDGE SWIRL {SWEETENED CONDENSED SKIM MILK (SKIM MILK, SUGAR, CORN SYRUP), SUGAR, WATER, DEXTROSE, COCOA PROCESSED WITH ALKALI, BUTTER (CREAM, SALT), CORN SYRUP, UNSWEETENED CHOCOLATE, CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, DISODIUM PHOSPHATE, PECTIN (PECTIN, SUGAR), ARTIFICIAL FLAVOR}, MINT CHOCOLATE COOKIE CHUNK {SUGAR, CHOCOLATE COOKIE PIECES (UNBLEACHED UNENRICHED WHEAT FLOUR, SUGAR, PALM OIL, COCOA PROCESSED WITH ALKALI, SALT, NATURAL FLAVOR, SODIUM BICARBONATE), COCONUT OIL, NONFAT MILK, COCOA PROCESSED WITH ALKALI, PALM KERNEL OIL, MILKFAT, COCOA, WHOLE MILK, SOY LECITHIN, OIL OF PEPPERMINT, PROPYLENE GLYCOL, NATURAL FLAVORS, SALT, SUNFLOWER LECITHIN, RED CABBAGE AND CURCUMIN FOR COLOR}, CORN SYRUP, CONTAINS 1% OR LESS OF NATURAL FLAVORS, CAROB BEAN GUM, GUAR GUM, CARRAGEENAN, MONO & DIGLYCERIDES, CELLULOSE GEL, CELLULOSE GUM, YELLOW 5, BLUE 1.",,72.0,g,1/2 cup,Ice Cream & Frozen Yogurt,LI,,2019-03-18,2019-12-06,United States,,,,
1623,660152,branded_food,DELI STYLE SWISS CHEESE SLICES,,2019-12-06,STATER BROS.,,,74175445980,"PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT AND ENZYMES.",,19.0,g,1 SLICE,Cheese,LI,,2019-08-01,2019-12-06,United States,,,,
1626,661332,branded_food,THIN SNACKING COOKIES,,2019-12-06,COOKIE CHIPS,,,817472020081,"COOKIE (UNBLEACHED ENRICHED WHEAT FLOUR [NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID], BROWN CANE SUGAR, UNSALTED BUTTER, CANE SUGAR, CRYSTALLIZED GINGER [GINGER, CANE SUGAR], CAGE FREE EGGS, UNSULFURED MOLASSES, BAKING SODA, SEA SALT, COCOA POWDER [PROCESSED WITH ALKALI], CINNAMON, GINGER, ALL SPICE, NUTMEG, AND CLOVES). TOPPING (CANE SUGAR).",,28.0,g,1 ONZ,Cookies & Biscuits,LI,,2019-01-05,2019-12-06,United States,,,,
1627,661408,branded_food,"SIX CHEESE ITALIAN STYLE BLEND FANCY SHREDDED LOW-MOISTURE PART-SKIM MOZZARELLA, PROVOLONE, PARMESAN, ROMANO, FONTINA AND ASIAGO CHEESE, SIX CHEESE ITALIAN STYLE BLEND",,2019-12-06,Raley's,,,46567003276,"LOW-MOISTURE PART-SKIM MOZZARELLA AND ROMANO CHEESE MADE FROM COW'S MILK (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), PROVOLONE, PARMESAN, FONTINA AND ASIAGO CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ADDED SMOKE FLAVORING [IN PROVOLONE CHEESE]), POTATO STARCH AND POWDERED CELLULOSE ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR).",,28.0,g,1/3 cup,Cheese,LI,,2019-01-18,2019-12-06,United States,,,,
