fdc_id,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
1996506,Target Stores,FAVORITE DAY,BAKERY,85239195819,"COOKIE (SUGAR, ENRICHED WHEAT FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, ASCORBIC ACID AS A DOUGH CONDITIONER, THIAMINE MONONITRATE, RIBOFLAVIN, ENZYME, FOLIC ACID], BUTTER [CREAM, SALT], EGG, PUMPKIN PUREE, WATER, CANOLA OIL, SPICES, NATURAL FLAVOR, NONFAT DRY MILK, LEAVENING BLEND [SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE, CALCIUM SULFATE], ORGANIC CARAMEL COLOR, BETA-CAROTENE [COLOR], INVERT SUGAR).",,26.0,g,,"Croissants, Sweet Rolls, Muffins & Other Pastries",LI,7 oz/195 g,2021-06-17,2021-07-29,United States,,,,
1997685,Aston Global Inc ,CLOVER VALLEY,,192548200070,"WATER, MANGO PUREE, FRUCTOSE SYRUP, CRANBERRY CONCENTRATE, PURPLE CARROT CONCENTRATE, CARBOXY METHYL CELLULOSE, CITRIC ACID, CRANBERRY FLAVOR, MANGO FLAVOR.","Not a significant source of saturated fat,trans fat, cholesterol, vitamin D.",247.0,ml,,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",LI,25 FL OZ/740 mL,2021-06-18,2021-07-29,United States,,,,
1997977,Palmer Candy Company,PALMER'S,SELECTS,77232561906,"SUGAR, CORN SYRUP, WHOLE MILK PALM OIL, WHEY POWDER, SALT, SOY LECITHIN (AN EMULSIFIER), ARTIFICIAL VANILLA FLAVOR.",,33.0,g,,Candy,LI,2.25 OZ/63 g,2021-06-26,2021-07-29,United States,,,,
1998189,Fresh Mix LLC ,GET FRESH SALES,,815867027424,"TRI-COLOR ROTINI PASTA (SEMOLINA [WHEAT], DURUM WHEAT FLOUR, VITAMIN B3 [NIACIN], IRON [FERROUS SULFATE], VITAMIN B1 [THIAMINE MONONITRATE], VITAMIN B2 [RIBOFLAVIN], FOLIC ACID), GOLDEN ITALIAN DRESSING (WATER, VINEGAR, MALTODEXTRIN, VEGETABLE OIL [SOYBEAN AND/OR CANOLA], SUGAR, SALT, CONTAINS LESS THAN 2% OF HIGH FRUCTOSE CORN SYRUP, CIDER VINEGAR, MODIFIED CORN STARCH, XANTHAN GUM, RED PEPPER*, GARLIC*, ONION*, MUSTARD FLOUR, SODIUM BENZOATE [PRESERVATIVE], SPICE, CALCIUM DISODIUM EDTA [TO PROTECT FLAVOR], NATURAL FLAVOR, YELLOW 5, YELLOW 6.",,113.0,g,,Deli Salads,LI,16 oz/454 g,2021-06-18,2021-07-29,United States,,,,
1998862,Good For Life Ministries,WHOLE FOODS MARKET,,687051743102,"BRUSSELS SPROUTS, CELERY, CARROTS, CRANBERRIES DRIED (CRANBERRIES, CANE SUGAR REFINED SUNFOWER OIL IS USED AS A PROCESSING AID), BASIL VINAIGRETTE (OIL BLEND (SUNFLOWER OIL / EXTRA VIRGIN OLIVE), LEMON JUICE, HONEY, MUSTARD DIJON (DISTILLED VINEGAR, WATER, #1 GRADE MUSTARD SEED, SALT,CHARDONNAY WINE, CITRIC ACID, TARTARIC ACID, SPICES & TURMERIC), BASIL, SEA SALT, BLACK PEPPER), ALMONDS, PARMESAN SHREDDED (CULTURED MILK, SALT, ENZYMES, CELLULOSE TO PREVENT CAKING, NATAMYCIN TO PROTECT FLAVOR), BLACK KALE.",,85.0,g,,Deli Salads,LI,6 oz/170 g,2021-06-21,2021-07-29,United States,,,,
1999098,Grippo Potato Chip Co Inc,GRIPPO'S,,76847144368,"SELECTED POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: HIGH OLEIC SOYBEAN, SUNFLOWER, COTTONSEED, CORN AND/OR PALM), SALT, WHEY POWDER, CORN MALTODEXTRIN, ONION POWDER, NONFAT DRY MILK, SOUR CREAM SOLIDS (CULTURED CREAM) , MONOSODIUM GLUTAMATE, DEXTROSE, SPICES, CANOLA OIL, SILICON DIOXIDE, CITRIC ACID, LACTIC ACID, TRICALCIUM PHOSPHATE, NATURAL AND ARTIFICIAL FLAVORING.",,28.0,g,,"Chips, Pretzels & Snacks",LI,2.75 OZ/78 g,2021-06-26,2021-07-29,United States,,,,
1999331,L. Gonzalez Enterprises Inc. ,MEXSNAX,,39466002297,"MANGO, CITRIC ACID, SALT, SULPHUR DIOXIDE AND CHILE BLEND (IT MAY CONTAIN PITS AND/OR PIT FRAGMENTS)",,38.0,g,,Wholesome Snacks,LI,2 oz/56 g,2021-06-26,2021-07-29,United States,,,,
2008136,"Numi, Inc.",NUMI,,680692160062,"ORGANIC FENNEL, ORGANIC CELERY ROOT, ORGANIC ORANGE PEEL, ORGANIC ONION, ORGANIC DILL, ORGANIC DECAF GREEN TEA, ORGANIC HONEYBUSH, ORGANIC BLACK PEPPER.","NOT A SIGNIFICANT SOURCE OF SATURATED FAT, TRANS FAT, DIETARY FIBER OR SUGARS",4.230000019073486,g,,Tea Bags,LI,1.79 oz/50.8 g,2019-03-25,2021-10-28,United States,,,,
2008948,"Harlan Bakeries, Inc.",EINSTEIN BROS BAGELS,BAGEL-FULS,28081302646,"ENRICHED, UNBLEACHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, CREAM CHEESE (PASTEURIZED MILK AND CREAM, CHEESE CULTURE, SALT, STABILIZERS [CAROB BEAN AND/OR XANTHAN AND/OR GUAR GUMS]), WHOLE WHEAT FLOUR, BROWN SUGAR, DOUGH CONDITIONERS (WHEAT FLOUR, CALCIUM SULFATE, SUGAR, CORN FLOUR, L-CYSTEINE, ASCORBIC ACID, AZODICARBONAMIDE, CALCIUM IODATE, CALCIUM PEROXIDE, SOYBEAN OIL, ENZYMES), MALT, VITAL WHEAT GLUTEN, YEAST (YEAST, SORBATE MONOSTEARATE, ASCORBIC ACID), SALT, MOLASSES, MALTODEXTRIN, CALCIUM CARBONATE, WHEAT FIBER, YEAST FOOD (AMMONIUM SULFATE, CALCIUM SULFATE, AZODICARBONAMIDE).",,69.0,g,,Pizza,LI,10 oz/284 g,2018-05-30,2021-10-28,United States,,,,
2009105,"Ever Better Eating, Inc.",RUSTIC CRUST,,794716912107,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN FOLIC ACID), FILTERED WATER, WHOLE WHEAT FLOUR, SEA SALT, YEAST, HONEY, BASIL.",,46.0,g,,Breads & Buns,LI,13 oz/369 g,2018-08-03,2021-10-28,United States,,,,
2009387,"Winn-Dixie Stores, Inc.",WINN-DIXIE,,21140213778,"WATER, TOMATO CONCENTRATE (WATER, TOMATO PASTE), PREPARED DRY BEANS, CONTAINS LESS THAN 2% OF THE FOLLOWING INGREDIENTS: WHEAT FLOUR, BEEF FAT, CHILI POWDER (CHILI PEPPER, SPICES, SALT, NATURAL FLAVOR, GARLIC POWDER), TEXTURED SOY FLOUR, DEHYDRATED ONIONS, SALT, MODIFIED CORNSTARCH, MONOSODIUM GLUTAMATE, CARAMEL COLOR. ",,16.0,g,,Chili & Stew,LI,10.5 oz/297 g,2019-03-12,2021-10-28,United States,,,,
2009483,The Jel Sert Company,ROYAL,,72392008339,"SUGAR, MODIFIED FOOD STARCH (FROM CORN AND TAPIOCA), LESS THAN 2% OF: SALT, ARTIFICIAL FLAVOR, CARRAGEENAN, PARTIALLY HYDROGENATED SOYBEAN AND COTTONSEED OIL, YELLOW #5, YELLOW #6.",,21.0,g,,Puddings & Custards,LI,6 oz/170 g,2020-12-01,2021-10-28,United States,,,,
2009636,Walgreens Co.,NICE!,,49022639768,SOYBEAN OIL. ,,14.0,g,,Vegetable & Cooking Oils,LI,32 fl oz/1 Quart/946 mL,2018-05-19,2021-10-28,United States,,,,
2010473,Perdue Farms Incorporated,PERDUE,,72745804144,"BONELESS CHICKEN BREAST WITH RIB MEAT, WATER. CONTAINS LESS THAN 2% OF SALT, BROWN, NATURAL FLAVORS, YEAST EXTRACT. BREADED WITH: WHOLE WHEAT FLOUR, WHEAT FLOUR, TAPIOCA STARCH, WHEAT STARCH. CONTAINS LESS THAN 2% OF WHOLE GRAIN YELLOW CORN FLOUR, CORN STARCH, SUGAR, FLAX SEED, SALT, SOYBEAN OIL, NATURAL FLAVORS, DEXTROSE YEAST EXTRACT, YEAST.",,90.0,g,,Frozen Appetizers & Hors D'oeuvres,LI,27 oz,2018-06-19,2021-10-28,United States,,,,
